title,subject,type,id,family_name,given_name
Über den Einfluss des Drucks auf die Prädissoziation.,Physik,,68ce968c-978a-c1af-5118-4d4c6078a94e,Lochte-Holtgreven,Walter Hermann Anton Theodor
,Agrarwissenschaften,,cab60e8b-670b-6929-0d72-4d4c60131d26,Lang,Emil Karl Georg Adolf
,Betriebslehre,Habilitation,cab60e8b-670b-6929-0d72-4d4c60131d26,Lang,Emil Karl Georg Adolf
Diatriba de morbis et eorum remediis juridica,Jura,Dissertation,87a204cd-5baa-69e8-8b46-4db979bb86e6,Morhof,Daniel Georg
Liber memorialis.,Geschichte,Dissertation,a9043c50-bd46-7cb4-561e-4eca1dd6722f,Assmann,Erwin
Stettins Seehandel und Seeschiffahrt im Mittelalter.,Geschichte,Habilitation,a9043c50-bd46-7cb4-561e-4eca1dd6722f,Assmann,Erwin
,Mittellateinische Philologie und Mittelalterliche Geschichte,,a9043c50-bd46-7cb4-561e-4eca1dd6722f,Assmann,Erwin
Die Stellung der Mathematik für Kants vorkritische Entwicklung.,Philosophie,Habilitation,fb9c0912-f3bd-fbfe-e6b7-4d4c6040cf8d,Menzel,Alfred August Friedrich
Die Grundlagen der Fichte'schen Wissenschaftslehre in ihrem verhältnis zum Kantischen Kritizismus.,Philosophie,Dissertation,fb9c0912-f3bd-fbfe-e6b7-4d4c6040cf8d,Menzel,Alfred August Friedrich
Strafrechtliche Schuldlehre.,Strafrecht,Habilitation,18e80398-da60-a181-f56b-4d4c605cfb81,Wolf,Erik
"Grotius, Pufendorf, Thomasius. Drei Kapitel zur Gestaltgeschichte der Rechtswissenschaft.",Rechtswissenschaften,Dissertation,18e80398-da60-a181-f56b-4d4c605cfb81,Wolf,Erik
Die Geldwerttheorien der Anhänger und der Gegner des Currencyprinzips.,Wirtschaftswissenschaften,,1a0566d6-281a-9b62-77dd-4d4c60a82b2a,Hoffmann,Friedrich Johannes Joachim
,Wirtschaftliche Staatswissenschaften,Habilitation,1a0566d6-281a-9b62-77dd-4d4c60a82b2a,Hoffmann,Friedrich Johannes Joachim
